Entity,Year,River Waters,Riverbed,Shoreline,Nearshore Waters,Offshore Waters,Deep Seafloor
Batteries,2021,0.0,6.1,0.0,0.0,0.0,0.0
Cans (drink),2021,0.0,0.0,0.0,0.0,0.0,10.2
Cans (food),2021,0.0,4.0,0.0,0.0,0.0,0.0
Clothing,2021,0.0,0.0,3.9,0.0,0.0,2.2
Cotton buds,2021,0.7,0.0,0.0,0.0,0.0,0.0
Cups & lids,2021,1.1,0.0,0.0,4.0,1.2,0.0
Fishing net,2021,0.0,0.0,0.0,2.4,4.4,2.3
Fishing related,2021,0.0,7.7,0.0,1.7,24.4,7.2
Food containers,2021,35.8,0.0,15.4,0.0,0.0,7.0
Glass bottles,2021,0.0,11.1,3.8,0.0,0.0,2.8
Industrial packaging,2021,8.2,0.0,0.0,0.0,2.8,6.5
Other containers,2021,2.1,0.0,0.0,0.0,7.1,0.0
Paper bags,2021,0.0,0.0,4.7,0.0,0.0,0.0
Plastic bags,2021,22.8,4.4,16.2,22.5,1.6,18.4
Plastic bottles,2021,6.2,9.7,12.9,11.1,8.7,22.6
Plastic lids,2021,4.5,13.2,6.0,4.7,10.6,0.0
Rope & nets (fabric),2021,0.0,7.1,0.0,0.0,0.0,0.0
Straws & stirrers,2021,4.8,0.0,6.2,4.1,0.0,0.0
Synthetic rope,2021,0.0,4.3,5.9,3.7,31.8,6.8
Tobacco packets,2021,0.0,0.0,3.7,0.0,0.0,0.0
Tyres,2021,0.0,4.3,0.0,0.0,0.0,0.0
Wood,2021,0.0,0.0,0.0,2.4,0.0,0.0
Wrappers,2021,10.1,0.0,0.0,39.0,1.4,0.0
